Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:21:17.843406,14:22:24.368539,1,-1.0
1,14:21:17.843406,14:22:27.915164,1,-1.0
1,14:21:17.843406,14:22:29.335569,1,-1.0
1,14:21:17.843406,14:22:32.075231,1,-1.0
1,14:21:17.843406,14:22:34.340306,1,-1.0
1,14:21:17.843406,14:22:35.996633,1,-1.0
1,14:21:17.843406,14:22:37.890332,1,-1.0
1,14:21:17.843406,14:22:40.155233,1,-1.0
1,14:21:17.843406,14:22:42.759060,1,-1.0
1,14:21:17.843406,14:22:45.363117,1,-1.0
1,14:21:17.843406,14:22:46.921519,1,-1.0
1,14:21:17.843406,14:22:47.059589,1,-1.0
1,14:21:17.843406,14:22:49.088482,-1,-1.0
1,14:21:17.843406,14:22:50.272746,-1,-1.0
1,14:21:17.843406,14:22:51.593999,-1,-1.0
1,14:21:17.843406,14:22:53.490225,-1,-1.0
1,14:21:17.843406,14:22:55.149039,-1,-1.0
1,14:21:17.843406,14:22:57.179877,1,-1.0
1,14:21:17.843406,14:22:58.601914,1,-1.0
1,14:21:17.843406,14:23:00.632130,1,-1.0
1,14:21:17.843406,14:23:02.189627,1,-1.0
1,14:21:17.843406,14:23:03.512524,1,-1.0
1,14:21:17.843406,14:23:04.360949,1,-1.0
1,14:21:17.843406,14:23:08.048135,-1,-1.0
1,14:21:17.843406,14:23:09.369452,-1,-1.0
1,14:21:17.843406,14:23:09.507589,-1,-1.0
1,14:21:17.843406,14:23:10.592879,-1,-1.0
1,14:21:17.843406,14:23:10.732305,-1,-1.0
1,14:21:17.843406,14:23:12.052888,-1,-1.0
1,14:21:17.843406,14:23:13.374736,-1,-1.0
1,14:21:17.843406,14:23:14.561089,-1,-1.0
1,14:21:17.843406,14:23:14.698767,-1,-1.0
1,14:21:17.843406,14:23:15.310416,1,-1.0
1,14:21:17.843406,14:23:17.204064,1,-1.0
1,14:21:17.843406,14:23:17.343744,1,-1.0
1,14:21:17.843406,14:23:18.528603,1,-1.0
1,14:21:17.843406,14:23:19.850300,1,-1.0
1,14:21:17.843406,14:23:21.408244,1,-1.0
1,14:21:17.843406,14:23:22.964776,1,-1.0
1,14:21:17.843406,14:23:23.104106,1,-1.0
1,14:21:17.843406,14:23:24.051517,1,-1.0
1,14:21:17.843406,14:23:25.235539,1,-1.0
1,14:21:17.843406,14:23:25.374360,1,-1.0
1,14:21:17.843406,14:23:28.818588,1,-1.0
1,14:21:17.843406,14:23:31.317905,1,-1.0
1,14:21:17.843406,14:23:34.292309,1,-1.0
1,14:21:17.843406,14:23:37.838959,-1,-1.0
1,14:21:17.843406,14:23:39.023082,1,-1.0
1,14:21:17.843406,14:23:42.333271,1,-1.0
1,14:21:17.843406,14:23:44.226520,1,-1.0
1,14:21:17.843406,14:23:46.829712,1,-1.0
1,14:21:17.843406,14:23:46.968923,1,-1.0
1,14:21:17.843406,14:23:48.153951,1,-1.0
1,14:21:17.843406,14:23:49.103728,1,-1.0
1,14:21:17.843406,14:23:49.242429,1,-1.0
1,14:21:17.843406,14:23:50.428229,-1,-1.0
1,14:21:17.843406,14:23:52.455671,-1,-1.0
1,14:21:17.843406,14:23:55.481744,1,-1.0
1,14:21:17.843406,14:23:56.665731,1,-1.0
1,14:21:17.843406,14:23:58.458991,1,-1.0
1,14:21:17.843406,14:23:58.598134,1,-1.0
1,14:21:17.843406,14:24:00.964969,1,-1.0
1,14:21:17.843406,14:24:02.286091,1,-1.0
1,14:21:17.843406,14:24:02.660701,-1,-1.0
1,14:21:17.843406,14:24:04.220174,1,-1.0
1,14:21:17.843406,14:24:06.956840,1,-1.0
1,14:21:17.843406,14:24:08.615768,1,-1.0
1,14:21:17.843406,14:24:11.216068,1,-1.0
1,14:21:17.843406,14:24:13.480602,1,-1.0
1,14:21:17.843406,14:24:14.900886,1,-1.0
1,14:21:17.843406,14:24:17.740380,1,-1.0
1,14:21:17.843406,14:24:21.052944,1,-1.0
1,14:21:17.843406,14:24:24.603914,1,-1.0
1,14:21:17.843406,14:24:26.395391,1,-1.0
1,14:21:17.843406,14:24:27.714487,-1,-1.0
1,14:21:17.843406,14:24:30.081952,1,-1.0
1,14:21:17.843406,14:24:30.220929,1,-1.0
1,14:21:17.843406,14:24:31.641148,1,-1.0
1,14:21:17.843406,14:24:33.769926,1,-1.0
1,14:21:17.843406,14:24:35.898373,1,-1.0
1,14:21:17.843406,14:24:37.319216,1,-1.0
1,14:21:17.843406,14:24:38.503445,1,-1.0
1,14:21:17.843406,14:24:38.977556,-1,-1.0
1,14:21:17.843406,14:24:40.773023,-1,-1.0
1,14:21:17.843406,14:24:42.566009,-1,-1.0
1,14:21:17.843406,14:24:44.356710,1,-1.0
1,14:21:17.843406,14:24:46.862892,1,-1.0
1,14:21:17.843406,14:24:48.992690,1,-1.0
1,14:21:17.843406,14:24:50.549157,1,-1.0
1,14:21:17.843406,14:24:51.869074,-1,-1.0
1,14:21:17.843406,14:24:53.660231,1,-1.0
1,14:21:17.843406,14:24:56.160931,1,-1.0
1,14:21:17.843406,14:24:57.952603,1,-1.0
1,14:21:17.843406,14:25:00.321712,1,-1.0
1,14:21:17.843406,14:25:02.115020,1,-1.0
1,14:21:17.843406,14:25:03.535854,1,-1.0
1,14:21:17.843406,14:25:06.037462,1,-1.0
1,14:21:17.843406,14:25:06.176527,1,-1.0
1,14:21:17.843406,14:25:07.833721,1,-1.0
1,14:21:17.843406,14:25:07.972383,1,-1.0
1,14:21:17.843406,14:25:09.863824,1,-1.0
1,14:21:17.843406,14:25:12.936613,1,-1.0
1,14:21:17.843406,14:25:14.828801,1,-1.0
1,14:21:17.843406,14:25:16.622811,1,-1.0
1,14:21:17.843406,14:25:19.362403,1,-1.0
1,14:21:17.843406,14:25:21.630043,1,-1.0
1,14:21:17.843406,14:25:23.993743,1,-1.0
1,14:21:17.843406,14:25:25.550798,1,-1.0
1,14:21:17.843406,14:25:26.970834,1,-1.0
1,14:21:17.843406,14:25:27.581844,1,-1.0
1,14:21:17.843406,14:25:28.192005,1,-1.0
1,14:21:17.843406,14:25:29.038200,-1,-1.0
1,14:21:17.843406,14:25:30.459401,-1,-1.0
1,14:21:17.843406,14:25:31.779025,-1,-1.0
1,14:21:17.843406,14:25:32.255108,1,-1.0
1,14:21:17.843406,14:25:33.201850,1,-1.0
1,14:21:17.843406,14:25:34.624038,1,-1.0
1,14:21:17.843406,14:25:36.517908,1,-1.0
1,14:21:17.843406,14:25:42.328303,-1,-1.0
1,14:21:17.843406,14:25:44.122456,1,-1.0
1,14:21:17.843406,14:25:45.208360,1,-1.0
1,14:21:17.843406,14:25:46.293279,1,-1.0
1,14:21:17.843406,14:25:48.187059,1,-1.0
1,14:21:17.843406,14:25:49.509144,1,-1.0
1,14:21:17.843406,14:25:58.258255,1,-1.0
1,14:21:17.843406,14:25:59.579243,1,-1.0
1,14:21:17.843406,14:26:01.944531,1,-1.0
1,14:21:17.843406,14:26:04.918394,1,-1.0
1,14:21:17.843406,14:26:08.224451,1,-1.0
1,14:21:17.843406,14:26:09.774149,1,-1.0
1,14:21:17.843406,14:26:11.096316,1,-1.0
1,14:21:17.843406,14:26:13.463516,1,-1.0
1,14:21:17.843406,14:26:14.548219,1,-1.0
1,14:21:17.843406,14:26:14.687430,1,-1.0
1,14:21:17.843406,14:26:15.164084,1,-1.0
1,14:21:17.843406,14:26:15.540675,1,-1.0
1,14:21:17.843406,14:26:15.678842,1,-1.0
1,14:21:17.843406,14:26:15.917564,1,-1.0
1,14:21:17.843406,14:26:16.292045,1,-1.0
1,14:21:17.843406,14:26:16.431211,1,-1.0
1,14:21:17.843406,14:26:17.990141,-1,-1.0
1,14:21:17.843406,14:26:18.129376,-1,-1.0
1,14:21:17.843406,14:26:18.505000,-1,-1.0
1,14:21:17.843406,14:26:18.743282,-1,-1.0
1,14:21:17.843406,14:26:18.982727,-1,-1.0
1,14:21:17.843406,14:26:19.356937,-1,-1.0
1,14:21:17.843406,14:26:19.495820,-1,-1.0
1,14:21:17.843406,14:26:21.390198,1,-1.0
1,14:21:17.843406,14:26:21.529329,1,-1.0
1,14:21:17.843406,14:26:21.904730,1,-1.0
1,14:21:17.843406,14:26:22.143790,1,-1.0
1,14:21:17.843406,14:26:22.517854,1,-1.0
1,14:21:17.843406,14:26:22.757549,1,-1.0
1,14:21:17.843406,14:26:23.233323,1,-1.0
1,14:21:17.843406,14:26:23.608099,1,-1.0
1,14:21:17.843406,14:26:23.984500,1,-1.0
1,14:21:17.843406,14:26:24.359633,1,-1.0
1,14:21:17.843406,14:26:24.734406,1,-1.0
1,14:21:17.843406,14:26:24.973984,1,-1.0
1,14:21:17.843406,14:26:25.213479,1,-1.0
1,14:21:17.843406,14:26:25.352349,1,-1.0
1,14:21:17.843406,14:26:25.591281,1,-1.0
1,14:21:17.843406,14:26:25.826983,1,-1.0
1,14:21:17.843406,14:26:25.964192,1,-1.0
1,14:21:17.843406,14:26:26.338244,1,-1.0
1,14:21:17.843406,14:26:26.577173,1,-1.0
1,14:21:17.843406,14:26:26.716618,1,-1.0
1,14:21:17.843406,14:26:26.955460,1,-1.0
1,14:21:17.843406,14:26:27.094091,1,-1.0
1,14:21:17.843406,14:26:27.333916,1,-1.0
1,14:21:17.843406,14:26:28.281698,1,-1.0
1,14:21:17.843406,14:26:28.520554,1,-1.0
1,14:21:17.843406,14:26:28.658824,1,-1.0
1,14:21:17.843406,14:26:28.898677,1,-1.0
1,14:21:17.843406,14:26:29.137575,1,-1.0
1,14:21:17.843406,14:26:29.376126,1,-1.0
1,14:21:17.843406,14:26:29.616081,1,-1.0
1,14:21:17.843406,14:26:29.755022,1,-1.0
1,14:21:17.843406,14:26:29.994529,1,-1.0
1,14:21:17.843406,14:26:30.232724,1,-1.0
1,14:21:17.843406,14:26:30.472397,1,-1.0
1,14:21:17.843406,14:26:30.847473,1,-1.0
1,14:21:17.843406,14:26:31.222051,1,-1.0
1,14:21:17.843406,14:26:31.598181,1,-1.0
1,14:21:17.843406,14:26:31.837258,1,-1.0
1,14:21:17.843406,14:26:32.076232,1,-1.0
1,14:21:17.843406,14:26:32.314995,1,-1.0
1,14:21:17.843406,14:26:32.554383,1,-1.0
1,14:21:17.843406,14:26:32.793138,1,-1.0
1,14:21:17.843406,14:26:33.032118,1,-1.0
1,14:21:17.843406,14:26:33.270758,1,-1.0
1,14:21:17.843406,14:26:33.510232,1,-1.0
1,14:21:17.843406,14:26:33.749328,1,-1.0
1,14:21:17.843406,14:26:33.988202,1,-1.0
1,14:21:17.843406,14:26:34.227290,1,-1.0
1,14:21:17.843406,14:26:34.838183,1,-1.0
1,14:21:17.843406,14:26:35.212935,1,-1.0
1,14:21:17.843406,14:26:35.589102,1,-1.0
1,14:21:17.843406,14:26:35.728519,1,-1.0
1,14:21:17.843406,14:26:36.103245,1,-1.0
1,14:21:17.843406,14:26:36.242274,1,-1.0
1,14:21:17.843406,14:26:36.481504,1,-1.0
1,14:21:17.843406,14:26:36.720321,1,-1.0
1,14:21:17.843406,14:26:36.959023,1,-1.0
